name,ibge_code,state,capital,category_number,label_name,latitude,longitude
"Aristides Batista Coracao de Jesus ",3118809,MG,Coração de Jesus,13,Aristides Batista,-16.6893234476866,-44.3584952946502
"Luiz Pires de Minas Coracao de Jesus ",3118809,MG,Coração de Jesus,15,Luiz Pires de Minas,-16.6893234476866,-44.3584952946502
"Ponte dos Ciganos Coracao de Jesus ",3118809,MG,Coração de Jesus,20,Ponte dos Ciganos,-16.6893234476866,-44.3584952946502
"São Geraldo Coracao de Jesus ",3118809,MG,Coração de Jesus,25,São Geraldo,-16.6893234476866,-44.3584952946502
"São Joaquim Coracao de Jesus ",3118809,MG,Coração de Jesus,40,São Joaquim,-16.6893234476866,-44.3584952946502
Cordisburgo,3118908,MG,Cordisburgo,5,Cordisburgo,-19.1285333206637,-44.3220674519339
"Lagoa Bonita Cordisburgo ",3118908,MG,Cordisburgo,10,Lagoa Bonita,-19.1285333206637,-44.3220674519339
Cordislandia,3119005,MG,Cordislândia,5,Cordislândia,-21.7912077552474,-45.7005297277009
Corinto,3119104,MG,Corinto,5,Corinto,-18.3635162871045,-44.4562256497032
Beltrao Corinto,3119104,MG,Corinto,8,Beltrão,-18.3635162871045,-44.4562256497032
"Contria Corinto ",3119104,MG,Corinto,10,Contria,-18.3635162871045,-44.4562256497032
Coroaci,3119203,MG,Coroaci,5,Coroaci,-18.6180835058572,-42.283027891501
"Conceição de Tronqueiras Coroaci ",3119203,MG,Coroaci,10,Conceição de Tronqueiras,-18.6180835058572,-42.283027891501
"São Sebastião do Bugre Coroaci ",3119203,MG,Coroaci,15,São Sebastião do Bugre,-18.6180835058572,-42.283027891501
Coromandel,3119302,MG,Coromandel,5,Coromandel,-18.4738505975887,-47.2015477282097
"Alegre Coromandel ",3119302,MG,Coromandel,10,Alegre,-18.4738505975887,-47.2015477282097
"Lagamar dos Coqueiros Coromandel ",3119302,MG,Coromandel,12,Lagamar dos Coqueiros,-18.4738505975887,-47.2015477282097
