Cunani Calcoene ;1600204;AP;Calçoene;10;Cunani;1058;N;2.49655904456698;-50.9447727342665
Lourenço Calcoene ;1600204;AP;Calçoene;15;Lourenço;1058;N;2.49655904456698;-50.9447727342665
Cutias;1600212;AP;Cutias;05;Cutias;1058;N;0.97107805541715;-50.8016260298776
Ferreira Gomes;1600238;AP;Ferreira Gomes;05;Ferreira Gomes;1058;N;0.853977393142956;-51.1874290460046
Itaubal;1600253;AP;Itaubal;05;Itaubal;1058;N;0.600653288304609;-50.7001794374183
Laranjal do Jari;1600279;AP;Laranjal do Jari;05;Laranjal do Jari;1058;N;-0.8556645;-52.5390207369393
Carapanantuba Macapa ;1600303;AP;Macapá;11;Carapanantuba;1058;N;0.035368;-51.064789
Fazendinha Macapa ;1600303;AP;Macapá;12;Fazendinha;1058;N;-0.0317035;-51.127931
São Joaquim do Pacui Macapa ;1600303;AP;Macapá;24;São Joaquim do Pacuí;1058;N;0.8136692999999999;-50.7449673
Macapá;1600303;AP;Macapá;05;Macapá;1058;S;0.0355735;-51.070535
Bailique Macapa;1600303;AP;Macapá;10;Bailique;1058;N;0.8674337999999999;-50.0578754
Mazagao;1600402;AP;Mazagão;05;Mazagão;1058;N;-0.124396328821101;-51.2860768561013
Carvao Mazagao ;1600402;AP;Mazagão;08;Carvão;1058;N;-0.124396328821101;-51.2860768561013
Mazagao Velho Mazagao ;1600402;AP;Mazagão;15;Mazagão Velho;1058;N;-0.124396328821101;-51.2860768561013
Oiapoque;1600501;AP;Oiapoque;05;Oiapoque;1058;N;3.85113073255929;-51.8305525552731
Clevelandia do Norte Oiapoque ;1600501;AP;Oiapoque;10;Clevelândia do Norte;1058;N;3.85113073255929;-51.8305525552731
Vila Velha Oiapoque ;1600501;AP;Oiapoque;15;Vila Velha;1058;N;3.85113073255929;-51.8305525552731
Pedra Branca do Amapari;1600154;AP;Pedra Branca do Amapari;05;Pedra Branca do Amapari;1058;N;-5.4546855;-39.7139376447036
Porto Grande;1600535;AP;Porto Grande;05;Porto Grande;1058;N;0.712554701824323;-51.4144488229915
Pracuuba;1600550;AP;Pracuúba;05;Pracuúba;1058;N;1.74250848707834;-50.7842537212883
Santana;1600600;AP;Santana;05;Santana;1058;N;-0.0383734790956603;-51.1728464650687
Anauerapucu Santana ;1600600;AP;Santana;07;Anauerapucu;1058;N;-0.0383734790956603;-51.1728464650687
